=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === -66.70 -69.44 === === === === === -104.69 -106.31 -114.50 -119.38 -124.30 -132.65 -135.46 -142.28 -148.68 -150.96 -156.59 === === === === === === === -204.68 -208.98 -215.01 -221.04 -228.00 -236.95 -241.03 -244.36 -255.09 -259.00 -263.40 -268.64 -277.12 -284.29 -289.89 -294.54 -302.75 === -314.22 === -325.82 -329.83 -334.72 === -350.15 -351.31 -356.71 -364.60 -371.92 -380.33 -381.17 === -395.18 -399.16 -405.46 -412.34 -416.45 === === === -442.77 === === === === === -480.38 === === === === -510.94 -517.01 -518.61 === === 
=== === === === === -54.81 === === === === === === === === === === === === === -67.55 -65.66 === === === === === -100.57 -109.26 -110.78 -119.23 -124.86 -130.81 -138.40 -143.29 -144.49 -154.82 -156.41 === === === === === === === -206.35 -209.21 -217.23 -223.73 -230.37 -234.27 -239.21 -247.09 -251.48 -258.36 -265.58 -268.20 -275.24 === === === === === -310.20 -316.20 -321.32 -332.02 === === -344.47 -355.25 -359.35 -367.14 -368.59 -377.92 -381.97 -390.30 -396.98 -398.19 === === === === -430.36 === === === -457.22 === === === -481.44 -484.65 -490.23 === -501.34 -507.55 -515.43 -521.47 === === 
=== === === === === === === === === === === === === === === === === === -58.04 -62.43 -64.06 === === === === === -99.72 -100.93 === === === === === === === === -157.73 === === === === === === === === -211.52 -216.31 === === === === === === -259.85 === === -274.47 === === === === === === === -323.02 === === === === === === === === === -381.77 === === === === === === === === === === === -456.43 === === === -480.60 === === === === === === -521.06 === === 
=== === === === === === === === === === === === === === === === -40.33 -46.22 -50.52 -60.44 -60.02 === === === === === -98.80 -99.60 === === === -127.01 -134.07 -138.83 -142.83 === === -163.94 -166.41 === === === === === === === === -222.61 -224.29 -231.97 === -246.44 -252.50 -256.61 === -267.19 === -281.83 === -289.67 === === === === === -329.88 === -340.12 === === === === === === === === === === === === === === === === === === -456.78 === === === === === === === === === === -521.06 === === 
=== === === === === === === === === === === === === === === -36.35 === -40.70 === -58.97 -58.93 === === === === === -97.38 -98.64 === === === === -131.60 -137.05 -142.94 === === === -169.48 -170.30 -177.93 === === === === === === === -227.14 -232.55 === === -248.61 === === === === -280.80 -288.03 -289.77 -299.83 === -310.71 === === === === === -343.76 -349.70 -356.85 === === -376.35 === === -392.17 === -402.84 -412.17 -417.87 === === === === === === === === === === === -490.34 -497.80 -503.19 -508.59 === -517.78 === === 
=== === === === === === === === === === === === === === === === -38.54 === === === -57.37 === === === === === -97.32 === === === -115.45 === === === === === === === === === === === === === === === === === === -233.52 -236.52 === === -257.18 === -266.88 -274.34 -281.04 -286.16 -291.81 -297.53 -301.70 -309.90 -317.25 === === === -337.90 === === === === === -374.62 -383.83 === === -400.43 === === === === === === === -446.73 === === === === === === -487.09 -497.43 === === === -519.01 === === 
=== === === === === === === === === === === === === === === -29.97 === === === === -57.07 === === === === === === === === === === === === === === -150.07 -150.37 === === === === === === === === === === === === === === -246.05 -250.21 === -260.72 -266.52 -271.41 -280.60 === -293.88 -295.40 -300.29 -311.20 === -319.68 -325.72 -334.25 === -348.10 === === -361.10 === === === === === -399.37 -404.09 === === -422.32 === === === === === === === === === === -491.93 === === === === -519.50 === === 
=== === === === === === === === === -7.86 === === === === === === === === -46.91 -53.36 -55.23 === === === === === === === === === === === === === === === === === -166.19 === === === === -197.86 === === === === === === === === -250.67 -257.62 === -264.76 === === === -292.28 -295.19 -304.90 -308.52 === -318.54 === === -338.06 === === === === === === -380.20 -388.30 -390.52 === === === === === === === === === -453.99 === -465.99 -469.66 === === === === === === === -517.99 === === 
