=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -102.64 -107.33 -111.94 -117.93 -124.47 -130.63 -133.15 -142.46 -150.06 -153.81 -156.80 === === === === === === === -207.04 -209.55 -219.12 -223.25 -229.55 -234.92 -242.72 -244.84 -251.38 -259.00 -267.25 -269.82 -275.84 -279.79 -287.27 -291.25 -302.75 -303.55 -314.61 -320.63 -321.25 -328.02 -333.05 -340.89 -347.08 -355.28 -359.63 -366.98 -371.92 -376.15 -380.68 -387.16 -393.62 -402.70 -407.08 -414.79 -416.87 -425.49 -428.44 -438.50 -442.69 -449.74 -452.84 -459.94 -467.09 -475.63 -480.67 -487.33 -490.76 -499.26 -503.97 -506.63 -517.71 -521.06 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -100.05 -107.79 -113.12 -117.46 -121.79 -128.89 -133.88 -143.05 -144.21 -153.48 -157.68 === === === === === === === -204.76 -208.91 -218.69 -222.58 -227.01 -233.82 -238.17 -244.80 -251.46 -258.48 -265.48 -268.17 -274.87 -282.79 -288.68 -295.37 -298.59 -306.26 -312.02 -317.96 -323.15 -330.16 -332.60 -339.55 -346.33 -355.25 -360.50 -365.53 -371.34 -377.26 -385.99 -388.63 -394.29 -400.26 -408.78 -410.06 -421.67 -424.77 -428.56 -437.63 -442.61 -446.23 -457.68 -460.38 -464.99 -475.64 -480.26 -486.29 -490.98 -496.09 -502.49 -509.92 -512.90 -521.38 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -99.52 -100.77 === === -118.86 === === === === === -156.35 -160.85 === === === === === === === === -214.41 === === === === === === === === === === === === === === === === === === === === === === === === -365.49 === === -380.24 === -393.02 -402.78 === === === === === -436.96 === -446.69 === === -465.39 === === === === === === === === -517.98 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -97.94 -100.51 === -114.20 -122.79 -123.49 === === === === === -159.85 -166.80 -170.95 === === === === === === === -220.00 -225.52 === === === === === === === === === === === === === === === === === === === -344.34 -351.87 === === === === === === === === === === -415.53 === === === === -448.30 === === === === === === === === === === === -519.45 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -96.49 -98.53 === -115.77 === -127.83 -130.85 === -140.78 === === === -167.65 -173.41 -176.80 === === === === === === === -224.78 -230.21 === === === === === === === === === === === === === === === === === === -343.76 -351.67 === === -366.95 === === -387.50 === === === -414.32 === === === === -442.59 === === === === === === === === === === === === -517.56 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -96.29 -97.68 -107.91 === === === === === === -145.27 === === === -173.92 -177.33 -183.31 === === === === === === === -232.40 -237.46 === === === === === === === === === === === === === === === === === -345.69 === -357.82 -365.65 -367.95 === === === -392.75 === === === === === -427.99 === === === === === === === === === === === === === === -520.56 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -95.15 -96.47 === -113.62 -117.13 === === === === === === === === === -180.33 -180.84 -189.40 -192.92 === === === === === === === -244.00 -250.21 === === === === === === === === === -307.49 === === === === === === -349.87 === === -371.97 -375.93 === -386.47 === === === -412.19 -418.12 -421.30 -430.28 -437.88 -440.90 === === === === === === === === === === === === -520.18 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -95.04 === === === -116.97 === === === === === === === -163.76 === === === -190.83 -196.33 -198.79 === === === === === === === -249.32 === === === === === === === -298.12 === === === === === === -337.60 === === === === -370.45 -375.34 -382.94 -385.20 -390.19 -400.21 -404.85 -410.82 -414.87 -424.40 -431.79 -436.87 -438.14 -444.69 -452.00 -460.16 -465.99 -469.99 === === === === === === === -518.51 === === 
