=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -101.67 -109.91 -113.26 -116.93 -122.44 -130.87 -136.22 -141.82 -144.74 -151.03 -156.91 === === === === === === === -206.72 -212.76 -218.17 -223.25 -229.84 -234.92 -241.18 -245.20 -255.09 -259.48 -263.96 -271.06 -274.99 -280.41 -287.81 -297.03 -302.75 -306.61 -311.90 -319.53 -326.04 -329.64 -335.69 -340.83 -350.15 -352.21 -358.17 -364.83 -371.92 -377.47 === -392.03 -397.64 -401.76 -405.59 === === -424.65 -429.33 -438.67 -440.11 -450.59 -454.92 -460.63 -464.89 -471.41 -478.32 -485.08 -490.77 -494.22 -504.92 -508.79 -516.52 -520.52 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -101.23 -108.00 -115.47 -119.55 -124.79 -130.50 -136.80 -141.85 -146.43 -153.45 -156.63 === === === === === === === -207.27 -208.91 -218.69 -222.58 -226.47 === === === -254.45 -259.92 -261.71 -272.95 -277.14 -280.38 -287.83 -293.47 -302.09 -304.57 -310.20 -315.38 -321.06 -327.65 -336.25 -344.42 === -355.25 -357.06 -362.52 -370.21 -375.27 -383.10 -390.30 -392.79 -400.16 -407.53 -415.42 -420.35 -425.13 -430.36 === -445.14 -450.59 -456.94 === -468.26 -472.61 -479.22 -486.99 -493.14 === === -508.45 -512.64 -519.51 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -99.69 -104.37 -108.04 -114.78 -122.44 -127.73 -133.19 -138.02 -144.78 === -158.36 -159.87 === === === === === === === -212.41 -214.43 -221.27 === === === === === === -265.04 -271.47 === -282.37 -286.07 -292.07 -301.60 -304.31 -313.59 === -325.29 === === === === === === -361.44 === === === === === === === === === === === === === === -455.99 === -468.11 === === === === === === === === -518.84 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -99.31 -99.85 -110.68 -113.02 -120.53 -128.13 -134.91 -134.99 -142.98 -147.07 === -164.06 -165.79 -169.78 === === === === === === === -222.47 -224.29 === === === === -255.46 -262.06 === === -277.87 === === === -304.03 -307.60 -318.03 -321.86 -329.42 -331.94 === -346.91 === === === === === === === === -397.96 === === === === === === === === === -457.06 === === === === === === === === === -519.55 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -97.29 -101.07 -106.51 -111.35 -117.65 === -128.37 -137.00 -141.26 -149.56 -152.97 === === -170.29 -177.10 === === === === === === === -226.64 -230.85 === === -252.26 === === === === === -284.98 === -300.49 -305.12 -310.34 === === -330.61 -330.98 -342.58 -346.88 -354.59 -358.75 -365.58 === === -381.84 === === === -402.79 === === === === === -441.83 -445.83 === === === === === === === === === === === -520.72 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -96.46 -102.26 -108.93 -110.66 -116.17 === === -138.22 -140.17 -149.05 -151.47 -161.39 -163.78 === -180.08 -180.85 === === === === === === === -233.53 -236.52 === === -257.19 === === === -277.93 -286.90 -292.81 -299.85 -305.88 -307.19 -316.18 -322.73 -328.03 -331.84 -336.73 -347.98 -354.29 -358.67 -361.36 -367.67 === === === === === -402.93 === === -423.16 -429.99 -433.53 -439.67 === === -459.12 === -468.57 === === -491.76 === === === === -519.77 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -95.65 === -106.79 -108.75 === === === === === -146.67 -153.15 -159.42 -165.58 -173.17 -176.18 -184.80 -189.28 === === === === === === === -239.56 -243.76 -250.21 === === -266.68 === -276.56 === -291.78 -294.90 -300.51 -311.11 -316.77 -323.54 -329.57 -334.61 -336.83 -347.22 -351.05 === === -372.04 === === -385.00 -392.86 -398.35 -403.04 -408.38 -415.63 === -426.87 -433.19 === -447.10 -452.70 -461.01 === === -475.58 -484.85 -486.15 === === === === -520.32 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -95.14 -97.57 -106.50 -110.33 === === === -135.01 === === -154.96 -162.01 -165.86 -170.19 -174.09 -185.35 === -196.17 -198.43 === === === === === === === === === === === === -281.61 -283.32 -290.13 === -300.80 -311.34 -316.11 -318.91 === === -339.43 -342.05 -348.64 -355.26 -360.85 -370.12 -374.40 -379.20 -384.73 -392.56 === -403.67 -412.20 -415.29 -420.07 -431.71 -434.31 -443.33 -447.83 -452.19 -457.41 -465.99 -473.99 -477.99 -484.20 -488.02 -496.56 === === === -520.36 === === 
