=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === -48.39 === === === -42.59 -43.61 -45.76 -47.11 -51.39 -54.03 -57.61 -63.81 -67.62 === === === === === === === === === === === === === === === === === === === === === === === === -204.53 -214.34 -219.38 -224.16 -231.03 -234.92 -238.82 -246.63 -255.09 -259.00 -263.57 -269.19 -275.47 -280.59 -288.13 -294.66 -302.75 -304.22 -313.68 -318.77 === -329.08 -336.36 -342.03 -350.15 -352.71 -360.58 -365.77 -371.92 -380.31 -384.49 -391.25 -393.26 -398.86 -405.01 -410.59 -419.67 -427.38 -431.75 -434.65 -442.89 -448.04 -452.26 -459.33 -465.80 -472.96 -477.69 -483.87 -489.10 -496.88 -503.55 -508.02 -514.25 -519.32 === === 
=== === === === === === === === === === -41.68 -41.26 -41.05 -42.08 -46.30 -49.90 -51.58 -56.12 === -66.43 === === === === === === -103.63 === === -116.61 === === === === === === === === === === === === === === -206.35 -209.87 -217.36 === -227.65 === -242.98 === -254.45 === === === === -279.62 -285.52 === -297.42 === === -320.07 -324.16 -329.56 === -343.95 -344.03 -355.25 === -367.09 -373.23 -377.36 -382.48 -390.30 -393.53 -403.29 -407.44 -412.72 -416.76 -424.83 -430.36 -434.99 -440.53 -446.47 -455.47 -459.10 -464.19 -472.10 -480.66 -485.21 -490.98 -497.20 -505.16 -509.40 -513.17 -518.93 === === 
=== === === === === === === === === === === === === === === === === === === === -62.97 === === === === === === === === === === === === === === === === === === === === === === === === -211.63 -216.81 -221.44 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -432.67 === === -445.72 === === === === === -485.71 -490.95 -498.42 -502.47 -510.46 === -518.81 === === 
=== === === === -47.68 === === === === === === === === === === === === === === === === === === === === === -100.14 === === === === === === === === === === === === === === === === === === === === === -226.71 === === === === === === === === === === === === === === === === === -335.51 === === === === -366.33 -371.45 -377.49 === === === -400.67 === === === === === === === === -453.07 === === === -477.62 -482.32 -491.00 -493.10 -499.50 === === -519.48 === === 
=== === === === === === === === === === === === === === === === === === === === -59.79 === === === === === -97.40 -98.72 === === === === === === === === === === === === === === === === === === === === -227.82 -229.93 === === === === === === === === === === === === === === === === === === === === === === === -376.61 -380.31 === === -397.42 === === -416.58 -426.18 -429.54 -434.74 -443.28 -448.19 -455.46 -458.63 -462.42 -470.37 -477.33 -486.20 -491.43 -493.85 === === === -517.85 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -230.23 -236.52 === === === === -268.34 === === === === === === === === === === === === === === === === === === === -385.45 === === === -412.15 -419.45 -426.03 -427.02 -436.59 -438.66 -445.65 -454.24 -461.85 -462.77 -471.87 -479.88 -485.06 -487.41 -494.12 === === === -517.80 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -243.09 -248.98 === === === === === === === === === === === -320.61 === === === === === === === === === -383.79 -384.14 -390.51 -398.33 -403.54 -408.67 -414.23 -421.34 === -434.50 -440.13 === === -458.95 -465.27 -472.43 -478.73 -482.02 -486.82 === === === === -519.94 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -251.47 -252.39 === === === === === === === -303.91 -307.94 === === -326.07 -334.06 === -342.05 === -358.71 === -366.22 -377.30 -381.86 -389.76 -394.33 -398.90 -402.57 -410.43 -415.64 -422.97 -426.31 -437.96 === -445.99 -451.52 -460.75 -465.99 === -477.85 -484.07 -489.00 -496.63 === === === -520.45 === === 
