=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === -61.26 -59.32 -53.00 -50.37 -48.84 -45.79 === === === === -45.54 -48.97 -50.13 -55.60 -58.27 -62.81 -64.48 -69.20 === === === === === -102.30 -106.53 -112.16 -117.19 === === -136.78 === === === === === === === === === === === -207.04 -212.84 -219.98 -222.19 -227.14 -234.92 -239.72 -245.94 -253.76 -259.00 -263.16 === -273.89 -282.65 -289.16 === -302.75 -304.01 -312.91 === === === === -339.91 -350.15 === === -367.98 -371.92 -379.43 === -388.00 -396.80 -398.72 === -410.44 -422.10 === === -436.98 === === -456.45 -459.60 -469.72 -472.75 -479.73 -482.47 -489.96 -497.71 -504.73 -510.21 -515.13 -519.22 === === 
=== === === -59.44 -57.98 === === === === === -41.85 === -40.93 -44.44 -47.74 -49.39 -54.38 -54.01 -60.69 -63.38 -68.29 === === === === === -104.27 -106.15 === === === === -136.78 -139.20 === === === === === === === === === === -206.35 -212.53 -216.03 -225.36 -227.47 -235.74 -242.08 -244.79 -254.45 === -265.51 === === === -288.22 -295.82 === === -314.37 -315.49 === === -336.31 === -349.86 -355.25 === === -371.77 -374.31 === -390.30 -396.08 -400.87 -407.44 === === === -430.36 === -441.12 -447.15 === -462.63 -464.32 -470.56 -481.43 -482.21 -489.51 -494.14 -502.76 -509.80 -515.29 -519.69 === === 
=== === === -53.28 === === === === === === === === === === === === -45.38 -52.32 === === -64.10 === === === === === -99.29 === === === === === === === === === === === === === === === === === === === === -223.94 === === === === -253.01 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -433.23 === -439.64 === === === === === === === === -495.19 -500.23 === === -520.75 === === 
=== === === === === === === === === === === === === === === -36.70 -43.00 === === === -62.96 === === === === === === === === === === === === === === === === === === === === === === === === === === -220.75 -226.26 === === === -253.12 === -260.68 === === === === -290.84 === === === === -324.00 === === === === === === === === === === === === === === === === === === === === === === === === === === -481.64 -489.19 === === === === -520.09 === === 
=== === === -47.11 === === === === === === === === === === -26.17 === === === === === -60.53 === === === === === === === === === === === === === === === === === === === === === === === === === === === === -231.34 -235.44 === === === === === === === -285.84 -293.92 === === === === === === === === === === === === === === === -387.17 === -398.68 === === -420.62 === === -437.44 === === === === === === -475.18 === === === === === === -519.69 === === 
=== === === -45.01 === === === === === === === === === -19.76 -26.90 -32.55 === === === === -59.43 === === === === === === === === === === === === === === === === === === === === === === === === === === === === -231.48 -236.25 -243.53 === === === -268.11 === === === === === === === === === -325.89 === === === === === === === -377.47 === === === === === === -418.74 -422.60 -431.84 -434.86 -439.57 -447.23 === -462.02 === -468.88 === === === === === === === -519.90 === === 
=== === === === === === === === === === === === -15.85 -17.27 === === === === === === -58.62 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -240.50 -247.83 === -258.36 === -275.92 === -285.38 -288.43 -296.38 -302.93 === === === -329.89 -335.88 === === === === === -369.04 -373.23 -382.13 === -392.86 === -403.06 -410.44 -415.71 -421.76 -428.48 -437.74 -439.98 === === -458.31 -465.74 === -474.14 -483.83 === === -498.44 === === -518.25 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -248.22 -252.27 === === === -280.75 === === -299.80 -302.11 -309.82 -314.55 -320.98 === -332.82 -341.30 === === === === === -373.43 === -389.79 -393.57 -400.97 -406.44 -410.41 -415.35 -420.82 -426.51 -438.00 -442.00 -445.99 -453.99 === === === === === === === === === === -517.99 === === 
