=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === -60.31 -55.75 -55.33 === === === -44.25 -43.32 -42.84 -43.98 -44.76 -46.95 === === -58.50 -63.77 -67.83 -69.00 === === === === === -102.93 -109.19 === -121.76 -125.66 === -136.54 === === === === === === === === === === === -207.04 -210.92 -219.45 -224.73 -226.39 -233.94 -243.66 -244.77 -250.30 -257.57 -262.83 -273.29 -277.53 -279.89 -290.57 -293.82 -301.56 -303.58 -311.04 -315.13 -322.03 -327.62 -333.92 -339.41 -350.15 -350.80 -356.71 -363.38 -371.92 -378.04 -383.03 -387.10 -395.15 === === -414.99 -417.30 -423.49 -432.20 -435.04 === -452.01 -456.55 === -466.74 -472.55 -477.78 -483.25 -489.61 -499.04 -505.07 -510.11 -515.34 -519.71 === === 
=== === === -56.31 -53.72 -52.26 -46.02 -46.60 -44.46 -42.66 -40.72 -42.19 -42.23 -43.88 === === === === -60.19 -63.92 -68.70 === === === === === -98.74 -105.46 -112.33 -120.74 -121.57 -129.66 -133.80 === -147.49 === -158.69 === === === === === === === -206.35 -209.32 === === === === -240.80 -245.54 -249.03 -256.11 -266.08 -272.51 -274.79 -279.64 -289.88 -296.43 -302.34 -305.52 -310.01 -317.31 -320.35 -326.83 -337.80 -342.28 -349.56 -355.25 -361.92 -365.61 === -375.08 === -386.21 -392.89 -402.90 -409.95 === === -422.29 -429.21 === -444.35 -450.27 -452.95 -460.55 -468.95 -475.36 -481.73 -486.99 -493.54 -498.44 -502.33 -510.60 -517.06 -521.86 === === 
=== === === -53.79 -51.18 -49.01 === === -35.93 -34.19 -30.51 -32.87 -33.31 -33.36 === === === -51.59 === === === === === === === === -100.08 -102.05 === === -122.06 === === === === === -157.32 === === === === === === === === === -214.15 === === === === === === -260.45 -265.78 -271.98 -274.79 -281.34 === -292.73 -300.67 -302.52 -309.73 -314.12 === === === === === === === === === === === === === -402.79 === === === === === === === === === === === === === === === === === -508.17 === -521.01 === === 
=== === === -51.81 -49.08 === === -31.94 -32.51 -26.23 -26.05 === -28.31 === -31.85 -35.45 -43.38 === -49.66 === === === === === === === -99.24 === === === === === === -138.29 === === === === -166.02 === === === === === === === === -221.49 -225.09 === === === === === -260.41 === -275.67 === -283.44 -294.86 -298.58 -303.33 -311.86 -314.10 -320.63 -326.99 === === === === === === === === === === === === -407.99 -409.09 === === === === === === === === === === === === -489.38 === === === -513.00 -519.89 === === 
=== === === -48.37 -46.63 === -33.18 === -27.76 -20.63 -20.74 -22.44 -21.53 -27.97 -32.78 -31.41 === === -50.50 === === === === === === === -97.90 -98.94 === === === === === === === === === === === === === === === === === === === === -228.20 -230.81 === === === === === === === === === -289.24 -299.81 -305.56 -306.89 -313.67 -319.84 -327.40 === -338.06 -343.02 -349.73 === === === === === === === -401.15 === -412.61 === === === -434.36 === === === === === === === === === === === === === -520.44 === === 
=== === === -45.81 -44.64 === === -25.11 -21.76 -14.87 -16.82 -17.21 -16.80 -18.46 -23.24 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -276.32 === === === === === -307.30 === === -330.23 -333.15 -338.54 -345.54 -352.27 -357.82 -363.48 === === -383.40 === === === === -409.89 === === === === === === -450.79 === === === === === === === === === === -517.40 === === 
=== === === -43.38 -42.90 === === === -17.84 === -7.64 -10.83 -13.14 -19.31 -21.76 -29.52 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -248.39 === === === === === === -291.85 === -301.38 === -314.91 === === === -341.06 -345.77 -350.05 -356.56 -360.92 -366.46 -373.74 -382.13 === -391.77 -401.05 -403.60 === -417.96 -420.80 === -433.10 === === === === === === === -484.50 === -496.41 === === === -516.63 === === 
=== === === -42.55 -42.07 === === -19.54 -17.04 === === -0.67 === === -22.71 -24.27 === === === === -54.67 === === === === === === === === === === === === === === === === -160.68 === === === === -187.58 === === === === === === === === === === === -258.63 === === === === === === -303.42 -311.95 === === === === -336.75 === === -355.78 -361.67 -371.47 -375.05 -379.24 -387.97 -391.02 -396.39 === === === === -429.17 -432.96 -443.58 -448.80 === -456.67 -465.99 -473.99 -477.99 -481.99 === -493.99 === === === -517.99 === === 
