=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === -59.81 -58.80 -52.88 -52.26 === === === === === -44.10 -45.24 -47.24 -49.63 -56.27 === -64.27 -64.78 -69.45 === === === === === === === -114.66 === === === === === === === === === === === === === === === -207.20 -208.80 -217.01 -223.25 -231.83 -232.91 -242.28 -246.45 -255.09 -259.00 -265.44 -273.31 -276.88 -281.97 -290.63 -291.38 -298.74 -303.75 -313.33 -320.70 -323.79 -330.43 -338.20 === -350.15 -352.52 -356.71 -367.57 -371.92 -379.62 -385.64 -391.06 -393.13 === -409.56 -411.99 -417.73 === === -434.44 -443.94 -446.96 -455.32 -459.54 === === -476.35 -482.38 -490.09 -499.62 -499.87 -508.34 -515.11 -518.88 === === 
=== === === -60.02 -56.04 -52.03 -51.27 -45.88 === === === -41.24 -41.91 -43.01 === === -52.79 === === -67.30 -68.16 === === === === === === === === === === === === === === === === === === === === === === === -205.11 -213.92 -218.69 -224.59 -226.12 === -237.67 -246.34 -253.20 -258.57 -262.28 === === -280.16 -290.52 -295.13 -301.04 === -310.20 -318.87 -324.58 -329.54 -337.38 -342.15 -347.34 -355.25 -361.18 -362.65 -369.09 -374.91 -381.13 -390.30 === -400.77 -407.44 -410.94 === -426.41 -430.36 -437.47 === === === === === === -476.71 -486.99 -491.42 === -501.27 -509.51 -511.86 -519.05 === === 
=== === === -54.84 === === -41.57 === === === === === === === === === === === === -62.54 -65.76 === === === === === === === === === === === === === === === === === === === === === === === === -212.12 -216.11 -219.69 === === === === === === === === -274.47 === === === -298.68 -307.78 === -317.15 === === === === -346.74 === === === === === === === === === === === === === === === === -446.82 === === === === === === === === === -506.90 === -517.69 === === 
=== === === === === === === === === === -27.70 === === === === === === === === -60.69 -62.33 === === === === === === === -109.77 === === === === === === === === === === === === === === === === === === -221.89 -225.19 === === === === === === === === -282.78 === -292.79 === === -309.63 -317.09 === === -336.80 === === === === === === === === === === === === === -417.26 === === === === === === === === === === === === === -502.62 === === -518.72 === === 
=== === === === === === === === === === === === === === === === === === === === -61.25 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -294.12 === === -311.97 === === === -334.85 === === === === === -371.41 -375.89 -384.20 === === === === === === === === -438.36 === -449.09 === === === === === === -490.31 === -500.60 === === -517.31 === === 
=== === === === === === === === === === === === === === === === === === === === -60.28 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -354.29 === -364.91 -371.23 -374.22 === === === === === === === === === === === === === -459.92 -465.35 === -476.97 -482.96 === === === === === -520.08 === === 
=== === === === === === === === === === === === === === === === === === === === -58.90 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -250.21 === === === === === === === -297.92 === === === -321.60 -327.72 -331.29 === === === === -362.21 -369.46 -372.51 -382.13 === === === === === === === === === === === -453.87 -456.50 -463.88 === === === === === === === === -519.81 === === 
=== === === === === === === === === === === === === -14.98 === === === === === === -57.18 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -270.17 === === === === -302.11 -306.10 === === -324.15 === -338.46 -342.05 -349.35 === === === === -383.03 -389.15 -390.88 -401.63 -404.75 -412.24 === -422.48 -427.88 -434.00 -438.82 -444.59 -453.99 -456.43 === -469.99 === === === === === === === -517.94 === === 
