=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === -56.91 -54.92 === === === -43.81 -42.77 -42.61 -43.73 -45.71 -48.24 === === -59.55 -61.65 -65.73 -70.24 === === === === === -101.61 -106.74 -115.13 -117.73 -124.04 -131.85 === === -147.15 -152.13 === === === === === === === === -206.77 -210.92 -214.80 -222.09 -229.10 -234.92 -241.15 -248.50 -251.93 -259.00 -262.31 -270.54 -273.65 -284.81 -287.13 -293.81 -302.75 -308.00 -310.23 === -325.52 -329.46 -334.14 -339.14 -350.15 -350.86 -358.17 -366.65 -371.92 -378.64 -384.06 === -395.15 -401.54 -405.58 === -421.17 -426.28 === -434.16 === -447.26 -453.20 === -468.94 -475.77 -477.84 -484.01 -493.78 -494.05 -502.45 -511.55 -517.26 -517.83 === === 
=== === === === === === === === === -40.92 -39.59 -41.07 -40.66 -41.37 -45.76 === === -58.34 -60.36 -65.08 -67.82 === === === === === -101.87 -107.71 -114.07 -117.08 -122.41 === -136.66 -140.62 -145.61 === -156.35 === === === === === === === -205.52 -208.24 -213.46 -224.55 -230.37 -234.27 -238.17 === -251.46 -258.36 === -271.51 -278.05 -279.80 -285.98 -292.70 -299.38 -305.91 -310.20 -316.85 -320.86 -328.80 -334.87 -341.22 -346.35 -355.25 -360.69 -364.11 -370.38 -374.16 === === -395.74 -400.70 -407.44 -412.31 -419.92 === -430.36 === -443.12 -449.80 -455.84 -457.87 -465.72 -475.69 -476.21 -486.99 -493.04 -496.53 -503.02 -506.67 -515.65 -518.10 === === 
=== === === === === === === === === === === === === === === === === === === -62.66 -65.31 === === === === === -99.34 -100.64 -109.04 -118.53 -123.47 -129.07 === -138.49 -142.66 === -159.41 -159.92 === === === === === === === -212.82 -217.01 -223.34 -229.48 -231.66 === -242.35 -253.73 -257.89 === === -277.43 -280.26 === === === === === === === -330.93 === === -346.94 -354.22 === === === === -382.89 === === === === === === === === -433.76 === -449.68 === -457.52 -468.34 -470.90 -478.48 -485.79 -489.41 -493.47 -500.04 -508.75 -512.90 -521.09 === === 
=== === === === === === === === === === === === === === === === === === === -59.24 -63.00 === === === === === -99.19 -103.12 === === === -125.42 -134.98 -135.32 === === -156.16 -160.95 === === === === === === === === === -219.75 -225.48 -235.10 === -243.64 -249.82 -255.31 === === === === === -292.78 -296.09 -306.32 === -315.94 === -327.18 === -340.28 === -351.51 === -362.24 === === === === === === === === === === === -437.90 -444.18 -448.41 -451.15 -457.67 -466.68 -473.47 === -485.88 -491.21 -492.99 === -509.18 -515.22 -517.81 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -97.95 -98.88 === === === -126.46 -128.09 -133.86 === === -153.98 === -167.66 -170.80 === === === === === === === === -227.49 -232.99 -238.20 -242.40 -250.98 -253.19 === === -272.32 -278.12 -284.39 -290.91 -295.59 === -311.97 === -323.86 -326.79 === -340.66 -343.76 -348.93 -360.36 === === -375.89 === -388.97 === === === === === -423.26 === === -443.77 -450.36 -453.00 === -466.54 === -477.53 -480.41 -490.07 -494.39 -502.20 -506.86 -514.11 -518.95 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -96.22 === === === -116.59 === === === === === === === === === -177.77 === === === === === === === === -232.85 -236.46 -241.19 -252.05 -256.84 -260.00 === === -276.88 -286.27 -289.43 -295.13 === === === === === -331.04 -338.67 -346.54 -349.40 -357.82 -361.01 === === === === -391.08 === === === === === === === === -446.30 === -462.01 === === -478.00 -481.84 -486.86 -494.43 -499.90 -506.24 -511.67 -520.40 === === 
=== === === === === === === === === === === === -11.66 === === === === === === === === === === === === === -95.06 -96.58 -102.58 === === === === === === === === === === === === -182.51 -188.32 -192.36 === === === === === === -240.17 -240.99 -247.24 === -259.11 -270.10 -275.20 -281.88 -286.99 -290.36 -295.91 === -311.41 === -323.98 -327.72 -334.96 -337.70 === -353.72 -358.40 -363.37 -366.75 === -378.14 === === === === === === === === === === === -452.32 === === -472.38 -477.39 -484.17 -487.79 -493.17 -501.67 === -512.92 -519.35 === === 
=== === === -43.65 === === === === === === === === === === === === === === === === === === === === === === -94.92 -96.71 === === === === === === === -148.91 === -160.02 === === === -182.98 -191.66 -195.82 -198.15 === === === === === === === -250.71 -254.23 -262.09 -264.05 -270.17 -279.86 === -293.73 -298.18 -304.78 -306.29 -316.55 -322.12 === -331.94 -336.99 -342.05 -348.15 -359.71 -365.36 -369.64 -373.34 -383.61 -389.38 -395.53 === === -412.46 === -422.60 === -438.00 === -445.99 -450.71 -457.99 -462.27 -472.90 === -480.22 === === -502.01 -504.88 === -519.32 === === 
