=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === -67.57 === === === === === === === === === === === === === === === === === === === === === === === === -207.87 -208.99 -214.80 -220.46 -227.14 -234.92 -242.72 -246.63 -255.09 -259.00 -262.31 === === === -290.30 === -302.75 === -313.60 -318.42 -326.63 === -337.49 -341.60 -350.15 -350.77 -358.17 -362.88 -371.92 === === === -394.77 -401.21 === === === === === === -445.26 -448.96 === === === === -481.24 === === === === === -512.53 -518.72 === === 
=== === === === === === === === === === === === === === === === === === === -64.66 === === === === === === === === === === === === === === === === === === === === === === === === -206.65 -212.97 -218.69 -222.58 === -233.35 -241.21 === -254.45 -260.35 === -270.64 === === === === === === === === === -331.21 === === === -356.08 -356.50 === -368.59 === === -390.30 -394.11 === -407.44 === === === -429.25 === === -449.99 -452.72 === -469.82 === === -486.99 -490.98 === === === -516.13 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -216.58 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -519.80 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -221.49 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -520.15 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -230.67 === === === === === === === === === === === === === === === === === === === === === === -369.51 === === === === === === === === === === === === === === === === === === === === === === === === -519.91 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -346.03 === === -364.46 === -377.94 -384.21 === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -239.34 === === === === === === === === === === === === === === === === === === === === === -372.04 -375.61 -379.50 === === -397.13 === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -291.78 -294.12 === === === === === === === === === === === === === -383.94 -387.31 === === === === === -422.02 === -438.00 === === === === === -469.99 === -481.99 === === === === === -517.99 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -258.02 === === === === === === === === === === === === === === === === === === === === === -390.00 === === === === -420.08 === === === === === === === === === === === === === === === -517.91 === === 
