=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === -114.25 -121.54 === === === === === === === === === === === === === === -205.96 -209.84 -216.60 -223.36 -227.14 -234.92 -240.30 -246.63 -252.96 -259.00 -266.82 -268.32 -277.46 -280.77 -287.73 -292.28 -302.75 -304.47 -311.90 === -324.62 -331.77 -335.44 -344.36 -350.15 -351.26 === -368.06 -371.92 -380.08 === -387.02 -393.34 -401.62 === -411.50 -420.58 -423.15 -428.70 -434.97 -443.93 -449.79 -453.20 -459.32 -468.37 -474.71 -481.58 -484.63 -493.47 -499.07 -503.57 -507.37 -517.12 -521.37 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -100.43 === === === === === === === === === === === === === === === === === -206.35 -213.17 -217.19 -222.33 -226.47 -234.27 -242.16 -248.01 -249.50 -255.49 -262.28 -271.73 -278.37 -282.11 -289.16 -293.85 -298.34 -306.09 -312.82 -316.20 -325.65 -330.56 -333.92 -339.55 -349.19 -354.40 -360.46 -367.14 === -375.27 -384.34 -390.30 === -402.24 -407.44 === -416.65 -423.99 -430.36 -439.46 -440.92 -451.49 === -461.03 -465.70 -475.34 === -486.99 === === -505.23 -505.78 -513.34 -519.35 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -212.72 -214.53 -222.43 === === === === === -254.89 === === === === === -291.89 === === === === -323.02 === === -338.42 === === -356.18 === === === === === === === === === === === === === === === === === === === === === === === === === === -520.91 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -166.76 === === === === === === === === -221.49 -224.29 === === === === === -263.85 === === === === === -299.08 -307.10 === -317.53 === -329.88 === -340.28 -343.62 -351.52 -355.75 === === === === === === === === === === === === === === === -451.17 === === === === === === === === === === -518.72 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -227.14 -232.95 === === === === === === === === === === === === === === === -330.58 === -339.12 -347.26 -351.79 -356.16 === -367.00 === === -385.26 === === === === === === === -435.18 -441.83 === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -236.52 === === === === === === === === === === === === === === === === === === -354.29 -360.11 -361.36 -367.31 -374.86 === === === === === === === === === === === === === === === === === === -491.19 === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -249.75 === === -269.20 === === === === === === === === === === -334.19 === === === === -364.37 -370.35 -375.61 -380.23 === -393.93 -401.15 === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -94.78 === === === === === === === === === === === === === === === === === === === === === === === === === -250.36 -253.35 === === === === === === -296.81 === === === === -328.89 === === -342.05 === === === -368.37 === -378.06 -388.49 === === === === === === === === === === === === === -473.99 === === === === === === === -517.99 === === 
