=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === -60.27 -59.39 === === === === -43.00 -43.70 -43.04 -44.28 -44.00 -49.30 -50.51 -53.02 === -62.10 -64.83 -69.63 === === === === === -103.35 === === === === === === === === === === === === === === === === === -204.50 -214.06 -215.37 -223.25 -231.03 -235.20 -240.20 -246.63 -254.41 -259.00 === -272.09 -278.94 === -286.08 -294.84 -302.75 -305.49 -312.76 -318.76 -321.25 -329.84 -337.89 -339.85 -350.15 -350.65 -361.87 -366.49 -371.92 -374.80 -384.49 -387.58 -397.22 -398.68 === -414.50 -418.54 === === -438.51 -445.92 -448.15 -456.26 -459.54 -467.66 -470.71 === -487.76 -489.90 -495.77 -504.62 -509.67 -512.25 -519.12 === === 
=== === === -59.03 -57.94 === === === -43.12 -41.41 -40.15 -41.13 -40.87 -43.26 === === === === -62.53 -63.87 -68.49 === === === === === -103.28 === === === === === === === === === === === === === === === === === -206.42 -209.25 -217.28 -224.42 -226.48 === -242.60 -246.12 -249.28 === -262.28 -267.24 === -283.37 -285.65 -296.61 -297.16 -307.20 -312.82 -316.20 -321.32 -327.26 -333.09 -338.92 -347.83 -355.25 -359.74 -362.63 -370.04 -374.23 -386.20 -390.30 -392.67 -403.98 -407.44 -415.49 === === -430.36 -434.34 -443.13 -446.78 -456.39 -460.93 -469.14 -472.75 -476.20 -486.99 -491.04 -494.73 === -511.37 -516.13 -521.21 === === 
=== === === === -53.51 === === === === === === === === === === === -46.19 === === -64.25 -63.48 === === === === === -101.57 === === === === === === === === === === === === === === === === === === -212.68 -216.38 -223.29 -226.01 === === === === === === === === === === === === === === === === === === -342.95 === === -359.14 === === === === === === === === === === === === === === === === === -466.40 === === === === === === === -512.31 -520.96 === === 
=== === === -50.02 -49.09 === === === === === === === === === === === -39.57 === === === -62.52 === === === === === -99.61 === === === === === === === === === === === === === === === === === === === === -222.14 -225.67 -229.43 === === === === -262.00 === === === -284.19 === === === -312.28 === === === -336.80 -340.28 === === === === === -376.64 === === === === === === === === === === === === === === === === === === === === === === === -517.39 === === 
=== === === -48.12 -45.36 -40.26 === === === === === === === === === === === === === === === === === === === === -97.52 === === === === === === === === === === === === === === === === === === === === === -228.50 -229.54 -240.09 === === === -262.09 === === === === === === === === -314.88 === === === === -343.76 === === === === -376.86 === === === === === === === === === === === -450.36 === === -462.82 === === === === === -501.65 === === -520.02 === === 
=== === === -45.50 -42.77 -36.10 === === === === === === -20.15 === -27.22 -29.77 === === === === === === === === === === -96.73 -98.65 === === === === === === === === === === === === === === === === === === === === === -233.71 -237.66 -241.62 === === === === === === === === === === === === === === === -341.00 === === -357.82 === -367.57 === === -386.52 === === === === === === -430.64 === === === === === === === === === === === === === === -518.12 === === 
=== === === === -41.59 === === === === === === === -13.37 === === === === === === === === === === === === === -95.38 -97.30 === === === === === === === === === === === === === === === === === === === === === === === -241.97 -246.43 -255.28 === === === === === === === === === === === -325.07 === === -343.82 -348.54 === -364.37 -372.04 -376.26 -378.12 === -394.34 -399.36 -404.70 -408.38 -415.78 === === === === === -452.29 === -466.41 === -475.81 === === === -501.42 -504.70 === -518.96 === === 
=== === === -42.62 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -249.41 -253.90 -261.68 === === === -285.72 -290.13 === === === -316.24 -318.08 === === === -342.05 -350.04 -356.69 -363.59 -369.36 -372.36 -379.22 -388.02 -391.41 -401.01 === -413.16 === === === -434.00 -440.41 -445.99 -452.83 === -465.20 -473.99 -477.99 -485.99 === -493.99 -501.99 -505.99 === -517.99 === === 
