=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === -59.19 -53.00 -50.47 -46.88 === === -42.06 === === === === === === -59.20 -60.64 -65.70 -69.44 === === === === === === === === === === === === === === === === === === === === === === === -208.45 -212.03 -217.66 -222.63 -230.34 === -242.78 -245.73 === -259.00 === -272.02 -273.51 -280.19 === -294.18 -302.75 === -309.38 === -323.36 === === === -350.15 === -361.39 === -371.92 === -383.86 -388.87 -392.39 -401.33 -405.43 -413.54 -417.26 -426.57 -434.12 === -441.19 -451.40 -454.59 -461.65 === -472.61 -476.58 -484.27 -493.60 -495.85 -504.60 -507.28 -515.13 -520.31 === === 
=== === === === === === -50.24 -45.29 -42.98 === === -41.19 -42.43 === === === -49.53 -58.50 -59.51 -65.66 -68.02 === === === === === -101.88 === -111.43 === -122.32 === === === === === === === === === === === === === -205.08 -213.06 -214.60 === === === === === -254.45 === === -272.16 -274.82 === -288.28 === -302.56 -305.34 -313.41 -317.20 === -329.52 -337.24 === === -355.25 === === === -378.72 -381.58 -390.30 === === -407.44 -414.23 -421.49 -423.56 -430.36 -434.57 -443.32 === === === -466.05 -474.66 -476.15 -486.99 -490.70 === -501.66 -509.89 -517.13 -518.13 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -211.54 -214.28 -220.40 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -472.10 === === === === -502.80 === === -520.40 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -98.43 === === === === === === === === === === === === === === === === === === === === -221.35 -228.42 === -240.15 -243.30 === -256.14 === === === === === === === === === === === -329.88 === -339.44 === === === === === === === === === === === === === === -429.15 === === -446.76 -453.79 === -464.49 === === === === === === === === -520.03 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -97.97 === === === === === === === === === === === === === === === === === === === === === -227.64 -233.37 -239.81 -244.86 -247.22 === -263.19 === -274.77 === === === === === === === === === === === -343.76 === === -362.41 === === === === -392.87 === === === === === === -437.25 === === -451.96 === === === === -486.34 === === === === === -519.03 === === 
=== === === === === === === === === -17.41 -16.80 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -237.86 === === -253.55 -262.05 -269.14 === -277.26 -285.47 === === === === === === === -331.71 === === -353.84 === -361.36 === -377.85 === === === === === === -419.97 === === === === === === === === === === === === === === === === -520.54 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -245.40 -247.10 === === -264.29 -270.42 -276.57 === -292.19 -296.86 -301.19 === === === === === -336.83 === === === === -372.04 === === === -394.34 === === === === === === === === === === === === === === === === === === === === -520.17 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -254.78 === === === === === === === === === === -323.78 === -335.07 -339.43 === === === === === -376.81 === -384.21 -393.64 === === === === -420.35 === === -442.99 === -453.02 === === -473.99 -477.99 === === === === === === -520.29 === === 
