=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === -58.64 === === === === === === === === === === === === === === -68.64 -68.88 === === === === === -103.44 -105.53 === -118.37 -124.44 -128.88 === === -148.36 === === === === === === === === === -206.85 -210.48 -216.93 -223.78 -227.14 -233.95 -241.88 -246.32 -255.09 -259.00 -262.26 -269.55 -276.18 -284.81 -287.86 === -302.75 -304.20 -313.77 -317.16 -324.25 -328.20 -334.17 === -344.81 -353.78 -359.60 -363.88 -371.92 -378.70 -385.83 -386.87 -397.65 -399.46 -406.17 -412.13 -419.46 -422.48 -434.06 === === -449.76 === -463.03 -466.41 -470.81 -481.63 -485.71 -490.88 -499.70 -505.02 -510.51 -515.85 -520.95 === === 
=== === === === -57.57 === === === === === === === === === === === === === -60.00 -65.19 -68.98 === === === === === -102.73 -106.09 === === === === === === -144.25 -151.96 -156.14 === === === === === === === -205.72 -213.94 -218.34 -224.70 -226.08 -232.40 -240.82 -244.13 -252.59 === === -270.10 === -279.44 === -295.21 -297.27 -308.33 -308.67 -316.28 -324.65 -330.99 -336.90 -344.24 -345.27 -355.25 -360.46 -365.24 -368.84 -376.15 === -390.30 -396.15 -399.58 -407.44 -415.25 -419.80 -425.51 -431.11 === -444.00 -446.81 === -462.48 === -471.49 -480.86 -486.99 -489.26 -498.54 === -509.58 -517.46 -520.80 === === 
=== === === === === === === === === === === === === === === === === -50.42 === -63.25 === === === === === === -99.50 -102.75 === -117.26 === -125.49 === === === === -157.69 -161.06 === === === === === === === === -213.64 -222.37 -226.37 -230.62 -238.95 -245.40 -251.99 -258.69 -263.09 -269.18 -277.42 === === === === === === === -323.02 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -514.21 === === === 
=== === === === === === === === === === === === === === === === -44.70 === === === === === === === === === -98.35 -99.66 -107.06 -116.45 -118.11 === === === -144.88 -152.14 === === === === === === === === === === === -222.35 -226.33 -234.43 === === -248.39 -258.85 -260.20 === -273.37 -277.87 -288.68 -292.64 -296.09 === === === === === -336.80 === === === === === === === === === === === === === === === === === === === === === === === === === === -496.94 === === === === === === 
=== === === === === === === === === === === === === === === -33.00 === === === === -58.79 === === === === === -97.72 === === -114.45 -119.79 -124.17 === === -145.00 -146.70 === === === -171.80 === === === === === === === === -228.20 -229.59 -237.02 === -251.17 -255.41 -260.65 -267.25 -271.72 -281.22 -282.76 -289.00 -295.67 === -310.99 -318.46 === === === === -343.76 === === === === -375.89 === === -393.90 -402.55 === === === === === === === -447.86 -452.94 === === -469.58 === -485.77 === === === === === -520.83 === === 
=== === === === === === === === === === === === === === -24.79 -30.10 -38.61 === === === === === === === === === === === === -113.27 -117.88 -122.87 -131.20 === -139.44 -145.75 === === === === === -182.82 === === === === === === === -234.31 -238.93 -242.44 === === -263.94 === -275.04 -277.59 -282.72 === === === -308.55 === -321.97 -325.95 === === === -354.29 === -363.24 === === === === -393.36 === === -410.10 -419.49 === === -437.29 -439.20 -449.24 === === -464.52 === === === -488.93 -497.89 === === === -518.21 === === 
=== === === === === === === === === === === === === -15.24 -25.49 === === === -44.41 === === === === === === === -95.30 === === === === === === -136.28 -140.91 -147.37 === === === === === === === === === === === === === === === -243.59 -246.58 === === === === === -282.91 === -297.46 === -306.62 === === === === -336.83 -343.25 === === === -368.47 -375.54 === === -392.63 -397.39 === -412.08 -419.78 === === === === === === === === === === === === === === === === -519.73 === === 
=== === === === === === === === -14.54 === === === -11.47 === -21.12 === === === === === === === === === === === -94.71 === === === === === -130.41 -135.50 -139.89 === -155.42 === === === === === === === === === === === === === === === -247.92 -254.56 === === === === === -289.70 -296.83 -300.80 -306.10 -314.09 -322.08 -326.07 -331.99 -338.06 -347.16 === === -362.61 -370.61 -376.62 -382.01 -389.91 -391.36 === === === -416.04 === -430.94 -432.11 === -447.68 === -461.99 === -469.99 === === -491.57 === -498.67 === === -516.66 === === 
