=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === -57.08 -53.90 -49.43 -48.10 === -43.85 === === -44.67 === === -50.98 -54.72 -55.76 -63.31 -68.15 -69.63 === === === === === === -109.28 -111.29 -118.10 -124.65 === === === === === === === === === === === === === -207.04 -212.10 -214.80 -220.59 -228.74 -234.92 -242.72 -246.63 -255.09 -259.00 -262.56 -268.51 -277.75 -280.20 -285.97 -295.36 -298.75 -305.96 -310.38 -319.74 === -330.96 -338.54 -339.77 -350.15 -351.64 -356.71 -364.13 -371.92 -377.99 -381.85 -390.85 -393.69 -404.15 === === -422.04 -423.75 === -438.46 -443.41 === === -459.08 -467.21 -470.03 -481.14 === -493.10 -497.24 -504.58 -508.22 -517.71 -517.90 === === 
=== === === -57.92 === === === -47.85 === === === === === === -45.20 === === -56.21 -59.28 -67.03 -69.11 === === === === === === === === === === === === === === === === === === === === === === === -206.52 -210.49 -217.52 -221.68 -226.84 -234.27 -240.08 === -254.45 -260.03 -266.72 -269.97 === -280.02 === -294.34 === -306.09 -310.46 -319.49 === -330.43 -335.46 -342.84 -349.95 -355.25 === -366.21 === === === -388.57 === -398.98 -407.68 -412.67 -416.76 -422.62 -430.36 -436.98 === === -456.30 === === === -479.43 -486.99 -490.98 -497.32 -503.40 -511.68 -512.94 -521.87 === === 
=== === === === === === === === === === === === === === === === === === === === -63.27 === === === === === === === === === === === === === === === === === === === === === === === === -212.61 -216.73 -223.33 -226.36 === === === -251.39 === -263.78 === === === === === === === === -318.04 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -519.86 === === 
=== === === === === === === === === === === === === === === === === === === === -61.30 === === === === === -99.63 -99.97 === === === === === === === === === === === === === === === === === === === -223.19 -224.29 -231.13 === === -251.65 === -260.94 === === -280.68 -286.15 === === === === === -324.15 === -333.81 === -344.46 === === === === === === === === === === === === === === === === === -453.91 === === === === === === === === === === -519.10 === === 
=== === === === === === === === === === === === === === === === === === === === -60.04 === === === === === === -98.62 === === === === === === === === === === === === === === === === === === === === -227.85 -233.18 -235.91 === === -256.14 -263.79 -268.88 -272.60 -277.97 === === === === === === === === -330.87 === -347.26 === === === -367.17 === === === === === === === === === === -437.13 -441.83 === -453.04 -456.90 === === === === === === === === === -519.87 === === 
=== === === === === === === === === === === === === === === === === === === === -59.71 === === === === === -96.84 === === === === === === === === === === === === === === === === === === === === === === -230.35 -236.05 -244.90 -249.41 === -262.95 === -271.36 -276.33 === === === === === === === === === === === -354.29 === -365.35 === -374.48 === === === === === === === -423.20 === === === === === -456.92 === -470.72 -478.31 === -487.18 === === === === -520.36 === === 
=== === === === === === === === === === === === === === === === === === === === -58.86 === === === === === -95.33 === === === === === === === === === === === === === === === === === === === === === === === -239.09 -244.25 -250.21 === === -265.82 === === === -293.51 -296.51 === === === === === === === === === === === -369.77 -377.37 -382.13 -385.86 === === === === === === === === === === === -458.96 -467.34 === === === === === === === === -519.89 === === 
=== === === === === === === === === === === === === === === === === === === === -58.55 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -251.97 -257.91 -258.30 === -270.17 === === === -294.12 -302.11 -310.10 -316.05 -318.08 === -331.83 -339.43 -342.05 === === === === -377.59 -381.01 -387.35 -390.39 === === -409.01 === === === -438.00 -442.00 -449.99 -453.33 === === === -477.99 -481.99 === === === === === -517.58 === === 
