=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === -57.11 -53.68 -50.83 === === === === === === === === === === === === === === === === === === === -105.12 -107.24 -114.07 -116.48 -123.74 -128.41 === === -146.75 -151.88 === === === === === === === === -205.75 -212.22 -214.80 -220.92 -231.03 -234.92 -241.30 -245.26 -254.89 -259.00 -265.91 -271.32 -276.16 -282.29 -287.37 -296.09 -302.75 -307.29 -312.98 -320.84 -323.86 === -335.34 -339.27 -350.15 -354.86 -358.17 -365.41 -371.92 === === -388.59 -392.87 -402.19 -404.55 === === -427.83 -428.85 -437.84 === === === -458.82 -468.57 -470.07 -479.27 -485.75 === -498.78 -502.65 -506.61 -511.93 -518.18 === === 
=== === === === -57.94 -52.96 === === === === === === === === === === === === === -66.41 -65.64 === === === === === -100.88 -109.34 -112.49 -115.95 -125.06 === === -138.75 === -154.37 -156.42 === === === === === === === -206.48 -212.78 -216.63 -222.58 -230.37 -232.06 -238.17 -245.36 -254.45 -255.83 -265.33 -271.17 -276.75 -280.55 -286.92 -292.50 -302.33 -308.13 -312.25 -318.82 -323.47 -329.26 -332.78 -338.84 -349.55 -355.25 -356.66 -365.64 -370.04 -377.37 -381.62 -390.30 -396.59 -400.50 -407.44 -414.29 -420.46 -424.20 -430.36 -435.53 === === === -460.76 === === === -486.95 -490.98 -494.26 -504.05 === -512.14 -521.38 === === 
=== === === === === === === === === === === === === === === === === === === -62.48 -64.82 === === === === === -100.49 === === === === === === === === === === -160.32 === === === === === === === -211.75 -213.88 === === -233.21 -241.91 === === === === -267.73 === -278.98 -287.44 -295.90 -298.74 === === === === === === === -346.55 === === === === === === === === === === === === === === === === -445.82 -453.27 === === === === === === === === === === -518.21 === === 
=== === === === === === === === === === === === === === === === === === -50.46 -60.14 -62.33 === === === === === -98.91 === === === === === === === === === === === === === === === === === === === === -223.47 -224.29 === -236.18 === === -257.73 -259.89 -268.34 === === -285.78 === === === === === === -329.88 -334.39 -340.28 === === === -361.61 === === === === === === === === === === === === === === -453.07 === === === === === -490.55 === === === === -521.16 === === 
=== === === === === -37.58 === === === === === === === === === === === -44.87 === === -62.20 === === === === === -96.91 === === === === === === === === === === === === -169.90 === === === === === === === === -226.49 -229.65 === === -247.55 -254.49 === -269.15 === -282.19 === === === === === === === === === === -343.76 === === === === === -380.82 === -392.27 -398.93 === -413.42 === === === === === === === === === === === === === === === === === -517.80 === === 
=== === === === === === === === === === === === === === === === === -41.97 -46.90 === === === === === === === -96.38 === === === === === === === === === === === === === === === === === === === === === === -232.77 -239.22 === === -255.11 === === -276.09 -276.43 === -289.46 === === === === === === === -340.63 === === === === === -377.00 === === === -399.12 === === -419.49 === === === === === === === === === === === === === === === === -520.15 === === 
=== === === === === === === === === === === === === === === === -36.65 === -43.85 === === === === === === === -94.95 === === === === === === === === === === === === === === === === -193.08 === === === === === === -240.10 -243.72 -250.21 === === === -275.86 -278.41 === === === === === === === === === === === === === -360.16 === === -379.64 -384.36 -394.02 === === === -415.78 === === === === === === === === === === -484.38 === === === === === -519.65 === === 
=== === === === === === === === -13.28 === === === === === === === === -40.59 -42.72 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -251.87 -257.47 === === === -278.15 === === -298.03 === === === === -326.88 -334.06 -338.06 === === === === -370.02 -374.80 === -389.54 -392.69 === -405.84 -412.96 -415.68 === === -438.00 === -449.09 -453.72 -456.05 -465.99 -469.99 === === === === === === === -520.24 === === 
