=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -103.04 -105.34 === -119.19 -124.94 === === === === === -156.66 === === === === === === === -207.04 -213.48 -214.80 -222.44 -231.03 -234.92 -240.53 -246.63 -251.90 -259.00 === === -279.30 -284.81 === === -302.75 === -311.31 === -322.83 -329.04 -334.61 -342.97 -350.15 -350.77 -359.29 -368.18 -371.92 -374.99 -383.25 -391.05 -396.52 -403.88 -409.47 -416.08 -417.08 -427.37 -428.41 -437.53 -442.83 -449.22 -452.97 -463.88 -467.76 -475.25 -477.70 -482.91 -491.65 -496.87 -503.00 -509.06 -517.12 -519.44 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -99.81 === === === -123.35 === === === === -151.85 -157.32 === === === === === === === -206.35 -213.76 -217.83 -222.58 -229.72 -236.28 === -244.71 -254.45 === === === === === === === -298.67 === -310.20 -315.73 -325.17 -331.91 -336.10 === === -355.25 -358.80 -367.58 -368.54 -377.24 -383.00 -390.30 -397.44 -398.14 -407.17 === === -425.96 -430.03 -438.52 -442.84 -451.06 -451.94 -462.04 -464.01 -474.50 -477.09 -487.24 -493.01 -495.33 -503.89 -508.11 -515.54 -520.41 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -101.08 -101.87 === === === === === === === === -157.77 -160.91 === === === === === === === -212.17 -216.95 -220.21 -228.41 -231.36 -238.15 === === -258.69 === === === === === === === === === === === === === === === === -359.36 === === -373.92 === === === === === -411.60 === === -432.72 === -443.25 -451.08 -454.35 -457.94 -465.89 -473.67 -476.59 === -490.93 -497.18 -504.57 === === -520.66 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -99.13 -100.80 -107.62 === === -126.52 === === === === === === === === === === === === === === === -221.75 -224.29 -234.01 === -243.54 === === -264.33 === === === === === === === === === === === === === === -353.69 -360.20 -362.70 === === === -390.19 -393.55 === === === === === === === -443.18 -450.25 -453.80 -457.62 -467.67 -473.26 === === === -496.63 === === === -517.98 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -97.48 -98.68 === === === === === === -142.50 === === === === === === === === === === === === === -228.99 -229.92 === -243.46 -248.69 === -259.72 === -273.78 === -284.08 === -296.73 === === === -323.93 === === === === -350.77 === === === === === === === === === === -417.29 === -429.86 -437.89 -443.21 -446.36 -455.17 -460.66 -464.04 -472.98 === === -489.31 -492.84 -501.17 -505.87 === -520.15 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -96.21 -102.08 -105.57 -112.56 === === === === === === === -158.35 === === -175.69 === === === === === === === === -232.73 -239.11 -240.75 -247.66 === -260.04 -266.42 === === === === === -304.05 -309.12 -317.53 === === -331.74 === === === -357.82 -361.36 -370.46 === === === === === === === === === === -437.33 -441.67 -445.35 -450.77 -461.21 === === === === -486.63 === === -507.53 === -520.36 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -96.04 -96.59 -105.91 === -117.26 -124.46 === === === === === === === === === === === === === === === === === === -239.51 -242.60 -246.60 === === === -275.18 === === -293.31 -296.75 -305.24 === -317.81 -322.62 -326.18 === === === === -358.37 -361.32 -371.21 -375.61 -382.13 === === === === -414.15 === -422.98 -430.14 -436.85 === -448.76 -455.90 === === === -480.00 === === === -503.15 -507.82 === -518.59 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -95.08 === === === === === === === === === === === === === === === === === === === === === === === === === -250.78 -254.20 === === -272.85 -278.15 -286.14 === -294.12 -302.18 -310.10 -317.52 -320.44 -326.07 -334.06 -338.06 -342.05 -350.04 -358.03 -362.50 -371.42 -372.16 -379.20 -389.76 -393.64 -396.56 -403.36 === -415.92 === === -434.99 -442.74 === === === === -469.18 === === === -497.99 === === === -518.14 === === 
