=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === -43.50 -43.51 === === === === -54.88 -58.53 -63.88 -64.26 -69.27 === === === === === -102.15 -107.26 === === === -129.73 -137.54 === -148.81 -152.43 -156.62 === === === === === === === -206.65 -209.76 -217.31 -225.29 -227.14 -233.03 -239.29 -247.97 -250.88 -259.00 -264.90 -270.91 -276.92 -280.90 -288.59 -292.97 -302.75 -308.05 -313.60 -319.07 -322.05 -331.62 -335.61 -339.96 -350.15 -352.74 -356.68 -367.73 -371.92 -378.75 -381.59 -389.61 -393.36 -398.93 -408.86 -414.67 -421.81 -423.56 -432.80 -439.81 -441.76 -450.66 -454.19 -463.25 -468.68 -475.78 -479.63 -486.68 -489.81 -494.03 -505.43 -508.68 -513.24 -521.68 === === 
=== === === -56.79 -53.83 === === === === === === -37.17 -39.64 -43.12 === -47.91 -49.51 -52.29 -61.33 -65.71 -68.62 === === === === === -102.13 -104.86 -111.95 === -123.27 -132.35 -134.07 -142.45 -147.96 -154.54 -156.78 === === === === === === === -207.90 -209.29 -218.21 -223.21 -225.17 === -242.05 -248.08 -254.45 -260.42 -261.05 -268.31 -278.73 -284.83 -287.27 === -301.63 -307.73 -312.60 -316.78 -325.12 -330.66 -337.56 -341.68 -345.50 -355.25 -356.74 -365.53 -370.69 -376.75 -382.85 -390.30 -394.75 -398.66 -407.44 -411.06 -417.86 -424.70 -430.36 -435.50 -440.98 -446.11 -455.27 -458.49 -469.30 -474.04 -479.43 -486.99 -490.98 -497.17 -503.83 -508.69 -512.40 -519.02 === === 
=== === === === -50.86 -43.25 -39.18 -37.39 -34.19 -32.36 === -32.03 -34.19 -36.31 -36.97 -43.85 -49.22 === === === === === === === === === -99.65 -100.93 === === === === === === === === -157.71 === === === === === === === === -212.53 -214.30 -223.08 -225.83 -235.26 -240.11 -243.43 -250.51 === === === === === === === === -302.66 === === -323.02 === -336.79 === === === === === === === === === === === === === === === -431.55 -433.44 === -445.95 -456.01 === === === === === === === === === === -521.02 === === 
=== === === === -46.50 -44.86 === -34.89 === -26.35 -24.45 === -30.20 -28.91 -36.26 -38.32 === === === -56.05 === === === === === === -100.35 -100.67 === === === === === === === === === === === === === === === === === === === -220.39 -229.02 === === -246.43 -251.50 -254.16 -261.23 -265.17 === === === === === -302.30 === === === === === === === === === === -372.02 === === === === === === === === -424.16 -430.26 -437.74 === -450.15 === === === === === === === === -501.74 -510.68 === -519.86 === === 
=== === === === === -36.00 -34.94 -28.23 === -21.48 === -20.46 -23.29 -27.44 -27.24 -34.09 === === === === === === === === === === -98.77 -98.98 === === === === === === === === === === === -173.34 -175.32 === === === === === === === -227.58 -233.11 === === === === -264.89 -265.14 -276.77 -281.10 -284.50 -293.23 -296.65 === -306.87 === === === === === === === === -362.35 -366.71 -377.67 -382.35 -389.53 === -398.98 === === -415.01 -423.37 -427.85 -433.06 -439.22 === === === === === === === === === === === === -520.00 === === 
=== === === === === -35.14 -31.96 -25.68 === === === -13.21 -16.53 -23.23 -24.68 === === === === === === === === === === === -95.90 === === === === === === === === === === === === -174.45 -176.99 -181.82 === === === === === === === -232.67 -238.56 === === === === -264.76 -275.72 -277.80 -283.45 -294.41 -296.38 -304.90 -309.67 -314.92 -321.68 -324.50 -333.00 === === -354.29 === === === -375.93 === === -390.55 === -408.08 -411.77 -417.63 === === === === === === === === === === === === === === === === -519.77 === === 
=== === === === === -32.26 === === === === === -8.07 -13.79 -17.41 -22.20 -28.85 === === === === === === === === === === -96.38 === === -113.44 === === === === -140.05 === === === === === === === === === === === === === === === === === -250.21 === -263.62 -264.73 -275.80 -279.60 -282.88 -291.00 -295.09 -301.13 -309.78 -317.86 -321.10 -329.11 -330.30 -341.09 -343.73 -350.45 === === -371.21 -377.86 -383.06 -385.32 -391.63 -401.15 === === -418.90 === -426.80 === === === === -460.72 -465.51 === === === === === === === === -520.50 === === 
=== === === === === -33.43 === === === === -3.18 -2.53 === -15.23 === === === === -43.86 -48.38 === === === === === === === === === === -117.43 === === === === -150.04 === === === === === === === -194.07 === === === === === === === === -251.72 -255.06 -258.42 === === -281.76 -285.11 -291.37 -297.85 -302.52 -307.03 -315.58 -318.08 -329.42 -330.73 -338.12 -342.05 -348.92 -358.65 -361.25 -369.00 -374.98 -382.01 -389.56 -390.03 -401.62 -404.34 === === === === === === === === -459.69 === -469.99 -478.79 === === === === === === -517.99 === === 
