=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === -60.82 -59.60 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -206.19 -211.43 -214.80 -223.25 -227.14 -234.68 -240.41 -245.66 === -259.00 === -273.44 -277.75 === === === -302.75 === === === === === -337.39 === -350.15 === -358.17 -365.27 -371.92 === === === -393.08 === -405.40 === -421.03 === === === -443.33 -447.92 -457.07 -461.88 -467.27 === === === === === -501.69 === -517.71 -519.91 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -101.99 === === === === === === === === === === === === === === === === === -206.35 -208.91 -219.11 === === === === === -254.45 === -261.05 -267.76 === -280.62 === === -298.74 === === === -325.08 -327.26 -333.20 -342.93 === -355.25 === === -368.70 -379.75 -381.58 -390.30 -395.13 -398.84 -407.44 === === === -430.36 === -441.16 === -456.65 -460.86 -464.55 -470.87 === -486.99 === -497.68 === -506.91 -515.34 -521.80 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -211.98 -215.16 -223.86 -225.53 === === === === === === === === -282.37 === === === === === === === === === === === === === === === === === === -397.42 -398.58 === === === === === === === === === === === === === === === === === -510.70 === -518.45 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -221.49 -224.29 === === === === === === === === === === === === === === === === === === -339.97 === === === -367.16 === === === === === -397.43 === === === === === === === -445.25 === === === === === === === === -500.89 -507.78 === -519.43 === === 
=== === === -47.70 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -381.84 === === -397.85 === -412.61 === === === === === === === === === === === === === === === === -514.56 -520.34 === === 
=== === === === -44.09 === === === === === === === === === === === === === === === -58.76 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -238.66 === === === -261.48 === === === === === === === === === === === -331.71 === === === -358.95 === === === -383.40 === -395.69 === === -414.28 -414.43 === === === === === === === === === === === === === === === === -518.02 === === 
=== === === === === === === === === === === === === === === === === === === === -59.13 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -250.29 === === === === === === === === === === === === === === === === -350.49 === === === === -378.19 === === === === === === === === === === -447.53 === === === === === === === === === === === -519.55 === === 
=== === === === === === === === === === === === === === === === === === === === -58.36 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -258.01 === === === === === === === === === === === === === -342.05 === === === === === === -389.25 -390.08 -396.24 === === === === === -434.00 === === === === -464.88 === -477.99 === === === === === === -517.99 === === 
