=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === -63.77 -66.04 -69.88 === === === === === === -109.84 -115.65 -116.83 === === === === === -155.47 -156.57 === === === === === === === -207.22 -208.50 -214.80 -225.22 -228.76 -234.19 -239.18 -247.66 -254.69 -259.00 -263.36 -269.36 -279.11 -282.94 -286.96 -296.24 -302.75 -305.96 -311.97 -316.10 -321.25 -327.89 -338.67 -339.83 -350.15 -354.18 -360.58 === -371.92 -376.02 -385.49 === === === -405.07 -410.45 -417.15 === -431.53 === === -449.50 -456.21 === -465.16 === === -485.60 -492.21 -495.29 -500.29 -510.00 -514.53 -520.82 === === 
=== === === === === === === === === === === === === === === === === -55.07 -61.00 -65.72 -65.32 === === === === === === === === -118.74 -121.79 === === === === -151.93 === === === === === === === === -206.49 -211.86 -216.26 -222.58 -229.72 -232.44 -243.28 -244.13 -251.66 -257.15 -267.18 -272.57 -273.91 -282.56 -287.95 -292.54 -299.68 -306.09 -312.82 -315.38 -321.63 === -332.44 === -345.43 -355.25 -360.83 -363.69 -369.32 -376.24 -381.10 -390.30 === === -408.48 === === -422.29 === === === === === === -467.85 -475.48 -481.62 -486.99 -492.92 -496.08 -500.61 -510.73 -513.34 -521.01 === === 
=== === === === === === === === === === === === === === === === -49.61 -51.67 -55.16 -60.76 -65.19 === === === === === === === === === === === === === === === -156.37 -159.71 === === === === === === === -212.89 -216.63 -220.98 === === === === === === === === === === === === === === === === -323.02 === -334.91 === === === === === === === === === === === === === === === === === === === === === === === === === -488.15 === === === === -521.43 === === 
=== === === === === === === === === === === === === === === === -43.27 -48.21 === -58.73 -61.93 === === === === === === === === === === === === === === === === -163.03 -165.23 === === === === === === === === -221.80 -225.64 === === -243.75 === === === === === === === === === === -307.79 === -319.88 === -333.33 === === === === === === === === === === -401.66 === === === === === === === === === === === === === === === === -504.47 === === -521.08 === === 
=== === === === === === === === === === === === === === -29.87 -35.61 -38.73 === === -58.64 -59.91 === === === === === === === === === === === === === === === === === === -170.79 === === === === === === === === -229.17 -229.64 === === === === === === === === === === === === === -315.45 === === === === -343.76 -350.77 -355.36 === -369.55 -373.40 === === === === === === === === === === === === === === === === === === === -497.77 -499.85 === === -520.49 === === 
=== === === === === === === === === === === === === -24.49 === === === === === === -59.29 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -239.98 -240.42 === === === === === === === === -296.43 === === === -320.15 -329.20 === -341.56 === -354.29 === === === -374.48 -379.15 === === === === === === -425.24 === === === === === === === === === === -490.52 === === === === -519.20 === === 
=== === === === === === === === === === === === -13.88 === === -31.61 === === === -50.63 -58.65 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -240.02 -243.97 === === === === === === === === -299.80 === === === === === === === === === === === -368.47 -374.45 -379.95 -386.63 === -401.15 === === === === === === === === === === === === === === -490.59 === === === === === === === 
=== === === === === === === === === === === === -10.55 === -23.79 -26.64 === === -47.13 -52.14 -57.99 === === === === === === === === === === === === === === === === === === === === === === -193.28 -199.41 === === === === === === === -249.96 === === === === === === === === === === === === === === === === === === === === === -381.60 -384.73 -390.01 === === === === === === -434.00 === === === === === -469.99 === === === === === === === -520.38 === === 
