=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -102.20 -107.89 === -118.76 -122.75 -129.45 -134.03 -142.70 -146.03 -151.38 -156.42 === === === === === === === -204.46 -214.11 -215.22 -222.98 -231.54 -234.04 -238.17 -248.21 -250.79 -259.00 -267.07 -268.38 -279.18 -282.68 -289.95 -295.63 -302.75 -309.03 -312.53 -319.65 -320.93 -329.27 -336.59 -341.81 -344.81 -352.19 -358.17 -363.54 -371.92 -379.30 -381.24 -390.43 -392.61 -401.53 -406.36 -415.69 -419.61 -424.44 -431.42 -436.41 -443.46 -451.15 -457.86 -462.09 -464.06 === === -482.23 -491.93 -496.05 -501.49 -511.33 -515.13 -518.72 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -101.89 -106.01 -112.54 -116.33 -123.67 -132.61 -132.91 -139.46 -144.24 -149.68 -156.68 === === === === === === === -206.13 -210.02 -213.87 -222.58 -230.57 -235.75 -239.73 -245.53 -254.45 -259.30 -265.97 -268.86 -276.35 -283.52 -289.74 -293.58 -300.05 -307.02 -310.20 -316.20 -323.03 -326.71 -337.12 -342.87 -349.71 -356.30 -356.38 -363.71 -371.86 -379.53 -385.57 -390.30 -394.01 -400.73 -406.29 -412.34 -420.56 -421.97 -430.36 -434.54 === -446.10 -457.18 -457.95 -465.26 -475.60 -477.84 -481.92 -491.34 === -503.13 -509.53 -516.73 -519.98 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -99.85 -102.33 === === === === === === === === -158.03 === === === === === === === === === -214.79 -222.07 === === === === === -259.65 === === === === === === === === -310.13 === === === === === === === -357.93 -361.84 === === === -388.96 -392.63 === -404.71 === === -425.03 === === === === === === -468.11 === === === === -494.63 -502.46 -506.22 -515.84 -519.72 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -99.17 -99.21 === === === === === === === === === === -166.21 === === === === === === === === -220.03 -226.23 === === === === === === === === === === === === === === === === -327.04 -336.80 -342.03 === === -358.90 -362.57 -372.57 -375.31 -383.52 -386.74 -394.64 -397.31 -408.87 -410.45 -418.27 -426.58 === === === === -451.11 === === === === === === === === === -515.99 -520.71 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -97.86 -99.27 === === === === === === === === === === === === === === === === === === === === -227.11 -230.97 === === === === === === === === -287.26 === === === === === === === -333.31 -342.16 -343.89 === -359.55 === -370.41 === -381.84 -390.33 === -400.90 === === -418.05 -422.60 === === === === === === === === === === === -494.62 -501.80 -506.21 === -518.72 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -96.44 -97.96 === === === === === === === === === === === === -179.76 === === === === === === === === -233.94 -239.06 -240.68 === === === === === === === === === -303.59 === -318.12 === -328.98 === -339.25 === -354.29 -357.82 === === -375.35 -379.32 -388.25 -391.74 -398.96 -407.23 === === -420.70 === === === === -453.47 === === === -479.78 === -487.48 -495.27 -499.70 === === -519.21 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -95.20 === === === === === === === === === === === === === === -185.29 === === === === === === === === -239.84 -243.21 -250.21 === === === -271.59 -276.37 === === === === === === === -328.42 === -336.83 -342.22 === === -362.57 === -376.10 -379.55 -388.39 -391.51 -401.15 === === -416.99 === === === === === === === === === === === -489.81 === === === === -517.01 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -95.89 -97.69 === === === === === === === === === === === === === === === === === === === === === === === === -250.15 -254.03 === === === -281.61 === -291.35 -297.47 === -310.10 -314.51 === === -335.10 -339.43 -342.05 === === === -369.17 -374.97 -382.80 -389.48 -390.11 -397.16 -402.23 === === === === -434.00 -442.00 -445.99 === === === -469.99 -477.99 -481.99 === -493.99 === === -512.25 -517.99 === === 
