=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === -62.22 -68.14 -68.77 === === === === === === === === === === === === === === === === === === === === === === === -207.04 -210.92 -218.98 -223.90 -231.03 -234.17 -238.24 -246.11 -250.45 -259.00 -266.92 -270.76 -275.17 -283.99 === -294.08 -302.75 === === === === -329.54 === -344.14 -350.15 === -358.15 -363.94 -371.92 === -386.32 -386.35 -396.10 === === === -419.21 === === -437.87 -444.59 === === === -466.39 === === === === === === === -515.13 -521.05 === === 
=== === === === -56.17 === === === === === === === === === === === === === -60.89 -64.24 -66.37 === === === === === === === === === === === === === === === === === === === === === === === -204.38 -209.35 -217.35 -222.58 === === === === === -255.49 === === === === -285.88 === === -303.30 -311.21 -316.45 === -328.88 -335.36 -340.23 -348.06 -355.25 === -363.45 -370.04 === === -390.30 === -401.51 -407.44 -414.28 === === -430.36 === === === === === === === === -486.99 === === -502.82 === === -519.79 === === 
=== === === -55.35 === === === === === === === === === === === === -45.80 === === -63.24 -64.15 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -259.85 === === === === === === === === === === === === -334.82 === -345.76 === === === === === === === === === === === === === === === === === === === === === === === === === === === === -520.72 === === 
=== === === === === === === === === === === === === === === -40.80 === === === === -60.51 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -323.68 === === -340.28 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -520.87 === === 
=== === === === === -38.55 === === === === === === === === -30.82 === === === === === -60.18 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -262.97 === === === === === === === === -314.60 === === === === -343.76 -350.77 === === === === -381.84 === === === === === === === === === === === === === -466.75 -473.27 -477.89 -480.58 === === === === === === === === 
=== === === === === === -32.16 === === === -13.61 === -20.70 === === === -34.41 === === -55.11 -59.84 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -242.38 === === === === === === === === === === === -314.77 === === === === === -354.29 -357.82 -365.82 === === === === === === === === === === === === === === -455.81 -461.87 -464.55 -470.03 -475.27 === === === === === === -519.81 === === 
=== === === === === === -26.83 === === === === === === === === === === === -48.00 -51.97 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -378.02 -382.87 -385.00 === === === === -417.38 === === -435.71 -439.72 -448.14 -454.46 -459.79 -462.19 -468.67 -477.75 === === === === -509.70 === === === === 
=== === === === === === === -22.09 === === === === -9.27 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -252.25 === === === === === === === === === === === === -335.49 === -342.05 === -356.78 === === === -382.01 -389.68 -391.27 -396.98 -406.75 === === === === -436.41 === === -453.99 === === -470.20 === -481.33 === === === === === -517.99 === === 
