=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === -43.51 === === === === === -62.29 -66.54 -70.28 === === === === === -101.42 -110.17 -112.60 === === === === === === === === === === === === === === === -204.19 -210.92 -218.01 -223.59 -231.53 -235.37 -241.23 -244.11 -255.09 -259.00 -264.66 === -274.86 -281.86 -288.86 -294.13 -302.75 === -309.31 -320.48 -323.18 -331.77 === -343.57 -350.15 -350.77 -359.23 -364.62 -374.29 -379.16 -382.23 -386.85 -398.19 -404.31 -406.16 -410.36 -416.37 -423.45 -432.81 -434.29 -440.31 -448.07 -452.50 -459.45 -465.29 -474.34 -476.13 -484.18 -489.74 -498.66 -504.85 -510.21 -515.97 -519.71 === === 
=== === === === === === === === === === === === -42.89 === -46.01 === -54.19 === -59.67 -66.79 -66.69 === === === === === -99.94 -108.28 -111.68 === === === === === === === === === === === === === === === -204.20 -208.91 -218.07 -220.62 === -234.89 === === === === === -270.27 === === === === === -306.09 -310.20 -315.93 -325.60 === === -343.00 -347.51 -354.96 -356.52 -364.07 -372.73 -376.11 -383.47 -390.30 -397.10 === -407.44 -411.95 -416.36 -423.56 -430.36 -434.95 -441.37 -447.24 === === -468.00 -470.08 -478.24 -486.52 -491.36 === === -505.96 -517.33 -521.32 === === 
=== === === === === === === === === === === === === === === === === === -53.21 -60.53 -62.96 === === === === === === === === === === === === === === === === === === === === === === === === -212.68 -214.79 -221.65 -226.16 -235.16 -237.91 === === === === === === === -288.63 -291.99 === -304.84 -312.92 -317.19 -324.29 === === === -348.56 === -360.12 === -372.62 === -383.77 === === === === === === === === === === === === === === -471.88 -477.54 -482.58 === === === === -512.53 -520.72 === === 
=== === === === === === === === === === === === === === === === === === -52.73 -53.80 -61.90 === === === === === -98.74 === === === === === === === === === === === === === === === === === === === === -221.49 -229.18 -234.93 -241.24 -246.76 === -254.51 === === === === === === -296.64 === === === -322.06 -329.88 -336.80 -340.38 -345.15 -351.43 -359.32 -362.98 -370.58 -374.87 === === === === === === -418.46 -424.82 -430.69 === === === === === === -473.66 === === === -497.03 === === === -519.41 === === 
=== === === === === === === === === === === === === === === === === === -51.85 -55.82 -61.50 === === === === === === -98.71 === === === === === === === === === === === === === === === === === === === === -225.17 -229.24 === === === === === === === === === === === === === === === -328.72 -333.75 === -348.28 === === === === -376.86 -380.31 -388.76 === === === === -418.80 === === === -440.35 -445.39 === === === === === === === === === === === -520.14 === === 
=== === === === === === === === === === === === === === === === === === -47.90 -52.31 -59.01 === === === === === === === === === === === === === === === === === === === === === === === === === === === === -231.93 -240.08 -240.49 === === === === === -276.33 === -288.55 === === === -317.07 === === === === === -354.29 === -362.96 -371.06 -378.12 -381.57 === === -401.35 -406.84 -412.43 -418.67 === === === === === === === === === -476.51 === === === === === -512.75 -518.91 === === 
=== === === === === === === === === === === === === === === === === === -47.89 === -58.87 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -239.85 -242.05 -248.65 === === === -271.49 -279.99 -286.55 -290.96 === === === === === === === === === === === === === === -379.83 === -394.34 -400.45 -404.70 === === === === === === === === === === === === === -486.70 === === === === -516.83 === === 
=== === === === === === === === === === === === === === === === === === -45.86 === -58.41 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -251.24 === === === === === -286.14 -292.30 -298.12 -302.11 -306.10 === -318.08 -328.90 === -339.51 -342.54 -350.04 === === === === -383.60 -389.96 -390.88 -397.54 === === === === === === === -444.17 === === === === === === === === === === === -520.32 === === 
