=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === -59.84 === === === === === === === === === === === === === -64.27 -68.52 -70.09 === === === === === === -106.67 === === === === === === === -154.43 === === === === === === === === -207.04 -208.67 -217.66 -221.86 -231.03 -234.92 -241.10 -246.63 -255.09 -259.00 -264.93 -268.70 -277.46 -281.59 -286.99 -295.96 -302.75 -305.15 === === -325.08 -328.09 -333.96 -342.05 -350.15 -353.32 === -368.11 -371.92 -378.90 === -390.16 -395.51 === -407.11 -414.12 === -427.57 === === === === === -458.33 === === === -486.08 === -497.85 === -510.54 -515.13 === === === 
=== === === -57.50 === === === === === === === === === === === === === === -62.74 -64.29 -67.45 === === === === === === === === === === -130.48 === === === -154.58 === === === === === === === === -207.54 -208.91 -218.69 -222.04 === -233.69 -241.53 === -254.45 === -266.72 === === === === === === -304.31 -312.82 -316.14 -325.08 -330.60 === -339.13 -347.44 -353.50 -361.92 === -371.62 -378.20 -385.27 -390.30 -394.94 -402.47 -407.16 === -420.95 === -432.70 === -443.25 === -452.43 === === === === -486.99 === === === === === -521.11 === === 
=== === === === -50.38 === === === === === === === === === === === -48.09 -50.12 -56.57 -61.64 -64.26 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -315.99 -323.02 === === === === === === -366.08 === === === === === === === === === === === === === === === === === === === === === === === === === -520.87 === === 
=== === === === === === -39.26 === === === === === === === === -39.59 -41.58 -47.62 -53.20 -61.42 -60.55 === === === === === === === === === === === === === === === === === === === === === === === === === === -221.49 -224.14 === === === === === === === === === === === === === === === === -329.88 -336.80 -340.28 === === === === === === === === -393.16 === === === === === === === === === === === === === === === === === === === === -518.87 === === 
=== === === === === === -31.91 === === === === === === === -30.92 -33.82 -40.73 === === -58.77 -61.50 === === === === === === === === === === === === === === === === === === === === === === === === === === === === -230.06 === === === === === === === === === === === === === === === === === === -343.76 -350.64 === === === === === === === === === === === === === === === === === === === === === === === === === === === -518.78 === === 
=== === === === === === -29.71 === === === === === === -18.34 === -32.06 -38.39 === -44.78 === -59.59 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -288.59 === === === === === === -331.71 === === -354.29 === === === -377.00 === === === === === === === === === === === === === === === === === === === === === === === -519.26 === === 
=== === === === === === -28.32 === === === === -7.95 -11.41 -16.46 === -27.01 === -39.25 -46.00 -54.45 -58.56 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -244.33 -250.21 === === === === === === === === === === === === === -334.25 === === === === === -372.04 === -383.75 === === === === === === === === === === === === === === === === === === === === === === -520.07 === === 
=== === === === === === === === === === -6.03 === -10.21 === === -28.26 -30.25 -39.40 -42.93 -50.52 -57.58 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -285.00 === === === === === === === === === === === === -360.58 === === -382.04 -385.72 -391.01 === === === === === === === === === === === === === -477.99 === === === === === === === === === 
