=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === -57.82 === === === === === -42.37 === === -45.68 === === === === === -68.57 -70.10 === === === === === === === === === === === === === === === === === === === === === === === -207.04 -212.66 -214.80 -223.25 === === -238.96 -246.63 -255.09 -259.96 === === -275.92 === === === -302.75 -306.85 -311.40 -319.78 === === -333.84 -339.10 -350.15 -350.91 -359.76 -365.35 -371.92 -379.68 === === === -402.19 -406.53 === === -423.92 === === === -451.06 -455.56 -460.36 === -474.91 -481.14 === === -495.47 -500.56 === -513.13 -520.71 === === 
=== === === === -57.17 === === === === === -39.93 -41.93 -42.77 -43.77 -44.94 === === === -62.47 -64.85 -66.40 === === === === === === === === === === === === === === === === === === === === === === === -206.79 -211.69 -218.69 === -230.37 === === === -254.45 -260.75 -265.01 -268.90 === === === === -298.49 === -312.82 -315.38 -321.32 -327.72 === === -347.44 -355.25 -359.68 -367.14 -373.69 -374.47 -381.10 -390.30 -392.67 -398.65 -407.44 === -421.08 === -430.36 -436.57 -440.78 === -454.97 === === -470.25 -478.13 -486.99 === === === -510.95 === -520.72 === === 
=== === === === === === === === === === === === === === === === === === === -62.91 -64.90 === === === === === === === === === === === === === === === === === === === === === === === === === -213.37 -222.57 === === === === === === === === === === === === === === === === -323.02 === === === === === === === === === === === -392.52 === === === === === === === === === === === === === === === === === === === === -518.71 === === 
=== === === === === === === === === === === === === === === === === === === -61.43 -61.25 === === === === === -98.73 === === === === === === === === === === === === === === === === === === === === -220.15 -224.88 === === === === === === === === === -288.16 === === === === === === -329.88 === === -347.56 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === -61.72 === === === === === -97.92 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -369.51 === -381.84 === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === -23.63 === === === === === === -59.56 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -241.27 === === === === === === === === === === === === === === === === -344.52 === === === === -375.63 === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -248.76 === === === === === === === === === === === === === === === === === === === === === -383.31 -386.63 === === === === === === === === === === === === === === === === === === === === === -517.01 === === 
=== === === === -40.38 === === === === === === === === === === === === === === === -57.05 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -250.65 === === === === === === === === === === === === === === === -342.05 === === === === === -382.71 -387.35 === -398.79 === === === === -430.00 -438.00 === -448.56 === === === -473.99 -477.99 === === === === === === === === === 
