=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -105.00 -109.32 === === === === === === -148.68 -153.21 -156.03 === === === === === === === -206.95 -212.27 -217.37 -222.84 -228.90 -233.36 -239.82 -246.14 === -259.00 === === -278.44 === -286.55 === -302.75 -303.25 -313.63 === === === -336.93 -341.93 -350.15 -351.31 -360.56 -363.44 -371.92 -377.13 === -388.70 -395.16 -401.14 -405.87 -411.05 -420.27 -422.88 -429.38 -436.42 -444.08 -450.49 -455.08 -458.53 -466.40 -470.27 -480.82 -485.71 -493.88 -493.86 -501.92 -510.31 -515.13 -521.60 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -101.26 -104.33 -114.16 === === === === === -149.28 -155.31 -156.70 === === === === === === === -204.55 -210.21 -218.51 -221.93 -229.99 -237.09 -239.30 -246.23 -253.22 === -261.40 === -278.22 -279.81 -287.82 === -302.63 -303.21 -312.38 -316.20 -324.50 -332.02 -333.04 -341.59 -347.39 -355.25 -357.99 -367.58 -373.57 -378.12 -381.10 -390.60 -392.93 -404.01 -409.49 -411.29 -420.65 -423.26 -430.36 -435.03 -441.77 -446.24 -457.79 -462.44 -467.14 -474.93 -478.18 -487.49 -488.00 -494.88 -501.66 -506.22 -515.34 -521.42 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -158.34 === === === === === === === === -212.28 -217.78 -218.95 -229.84 === -241.26 -242.99 -252.39 === === === === === === === === === === === === === === -342.94 === === === === -372.89 === === -386.78 === === === === === -424.37 === === -440.36 === === === === === === -483.61 -490.16 -493.27 === === === -520.21 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -97.96 === === === === === === === -142.63 -148.81 === === === === === === === === === === === -221.49 -225.15 === === -247.78 -251.27 -258.23 -262.78 -265.36 -274.04 -277.87 === -295.10 === -303.49 -308.49 === === === -335.30 === === === -357.14 -362.02 -367.85 === === -389.68 -391.57 === -406.14 === -419.14 === -427.62 -435.21 -439.56 === -454.46 -458.80 -463.62 -472.15 -480.74 -480.84 -492.44 -493.19 === === === -520.91 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -97.74 === === === === === -133.24 === -142.87 -146.40 === === === === === === === === === === === === -228.87 -232.05 === -243.93 -250.75 -258.73 -259.65 === === === === === === -302.93 -307.01 -317.96 -322.10 -326.55 === -337.47 -345.97 -350.77 -356.43 -361.81 -369.55 -377.83 -378.51 -388.32 -395.38 -400.43 -406.63 === -416.97 === -427.71 -435.41 -443.84 -449.66 -454.76 -460.66 -463.54 -470.53 -474.55 -483.83 -487.86 === === -506.88 -514.02 -519.99 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -127.39 -137.99 === -149.37 -152.84 === === === === === === === === === === === === -234.29 -236.37 -241.16 === -254.65 === -270.02 -275.23 -278.88 === === -296.17 -300.47 === -316.62 -321.44 -325.53 -332.69 -337.20 -348.19 -350.82 -357.95 -361.63 -370.72 -374.84 -383.05 -385.95 -396.18 -399.61 -402.67 -411.08 -419.91 -423.59 -426.72 -434.41 -440.06 -444.69 === -457.01 === -468.94 -476.69 -481.42 -489.96 -492.45 === -508.99 === -518.61 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -136.58 === -144.50 -151.66 === === === === === === === === === === === === === -239.15 -241.54 -249.07 === === === === -279.09 === -293.40 -299.54 === -311.98 -315.47 -324.02 -327.80 -332.61 -341.78 -343.08 -348.82 -356.70 -364.49 -368.54 -373.52 -382.30 -385.10 -392.44 -401.83 -402.64 -410.30 -416.98 -424.51 === -433.03 -440.93 -448.28 -450.79 -458.06 -466.64 -471.27 -477.43 -483.72 -490.97 -493.43 === === === -518.57 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -137.28 -140.45 -144.97 -150.05 === -162.19 === === === === === === === === === === === === === -250.63 -254.29 === === === === === -290.17 === -303.05 -308.28 === -320.54 -326.83 -334.25 -341.14 -342.05 -349.62 -357.89 -362.85 -370.85 -376.06 -381.54 -389.45 -391.83 -398.78 -403.95 -410.95 === -422.74 === -437.97 -441.57 -446.05 -454.76 -460.39 -465.54 -468.31 -477.08 -481.99 -490.95 -493.17 === === === -517.99 === === 
