=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -101.35 -107.45 -111.27 -118.78 -122.19 -133.18 -133.22 === -146.65 -151.18 === === === === === === === === -206.40 -211.27 -215.84 -225.25 -228.49 -234.92 -242.72 -246.63 -251.30 -259.00 -266.01 -273.32 -276.72 -283.01 -289.79 -293.90 -302.75 -308.90 -311.54 -317.55 -324.00 -328.18 -334.29 -341.15 -350.15 -351.00 -356.83 -363.38 -372.96 -376.98 -383.87 -386.98 -397.42 -398.77 -407.07 -411.37 -416.89 -426.76 -429.27 -438.83 -444.38 -446.86 -453.80 === === -472.16 -476.55 -484.00 -488.15 -499.38 -500.77 -511.55 -512.79 -521.79 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -102.42 -105.80 -113.24 -118.31 -126.26 -127.31 === === -147.92 -154.41 -156.52 === === === === === === === -206.35 -209.64 -218.69 -222.53 -229.35 -233.31 -239.92 -247.48 -255.21 -258.58 -262.28 -267.84 -274.06 -280.40 -288.52 -296.45 -301.48 -306.09 -312.82 -316.20 -323.20 -332.03 -334.20 -338.86 -349.24 -355.25 -358.47 -365.53 -370.75 -376.72 -384.34 -390.30 -392.53 -399.97 -407.44 -410.98 === -426.93 -430.36 === -445.44 === -452.55 -458.23 === === -477.44 -486.99 === === -504.59 -508.75 -517.65 -521.19 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -99.20 -100.95 === === === === === === === === -157.77 === === === === === === === === -211.71 -214.16 -222.27 === === === === === === === === === === === === === === === === === -330.71 -336.55 -337.54 === === === === === === === === === === === === === === === === === === === === -468.38 === === === === === === === === -520.08 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -98.34 -99.52 === === === === === === === === === === -165.90 === === === === === === === === -222.71 -224.37 === === === === === === === === === === -289.56 === === === === === === -336.80 -338.81 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -520.55 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -97.82 -98.79 === === === === === === === === === === === === -175.60 === === === === === === === -227.98 -229.87 === === === === === === === === === === === === === === === === === === -346.17 === -356.72 === -369.51 === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -97.46 -97.83 === === === === === === === === === === === === === === === === === === === === === -232.17 -238.53 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -416.56 === === === === === === === === === === === === === === === === -517.31 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -95.34 === === === === === === === === === === === === === === === -190.97 === === === === === === === -239.60 -245.64 -250.21 === === === === === === === === === === === === === === === === === === === === === === === === === === === === -422.18 === === === === === === === === === === === === === === === -519.08 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -198.75 === === === === === === === -250.31 -253.28 === === === === === === === === === === === === === === === === === === === === -380.44 -386.39 -390.02 -400.24 === === === === === === === === -450.24 -458.13 === === === === === === === === === -517.99 === === 
